aircraftType,weightClass,assumedEngineType,hcGrPerKgFuelFlow,coGrPerKgFuelFlow,noxGrPerKgFuelFlow,fuelFlowKgPerSecond,co2KgPerKgFuelFlow
A319,D,CFM56-5A5,1.53,18.5,4.29,0.098,3.08
A320,D,CFM56-5-A1,1.4,17.6,4,0.1011,3.08
A321,D,CFM56-5B3/P,3.5,19.2,4.7,0.115,3.08
A332,B,CF6-80E1A3,9.53,37.02,4.69,0.227,3.08
A333,B,CF6-80E1A3,9.53,37.02,4.69,0.227,3.08
B734,D,CFM56-3B-2,1.75,30.1,4.1,0.119,3.08
B737,D,CFM56-7B26,1.9,18.8,4.7,0.113,3.08
B738,D,CFM56-7B27,1.7,17.9,4.8,0.116,3.08
B752,D,RB211-535E4,0.27,20.33,4.4,0.18,3.08
B762,C,JT9D-7R4E,1.11,8.27,4.1,0.221,3.08
C56X,F,PW306A,4.36,36.35,4.26,0.0422,3.08
CRJ2,E,CF34-3B,4.69,47.59,3.72,0.0489,3.08
CRJ7,E,CF34-8C5B1,0.16,19.52,4.5,0.063,3.08
CRJ9,E,CF34-8C5,0.13,18.25,4.6,0.064,3.08
E145,E,AE3007A1P,3.85,23.8,3.47,0.046,3.08
E170,E,CF34-8E5,0.13,18.16,4.61,0.064,3.08
E190,D,CF34-10E5,5.15,49.4,3.59,0.085,3.08
E45X,E,AE3007A1E,3.52,37.97,4.26,0.0475,3.08
MD88,D,JT8D-217A,0,15.31,4.57,0.1372,3.08
MD90,D,V2525-D5,0.105,12.43,4.7,0.128,3.08
Other,A,GP7270,4.04,33.58,5.24,0.234,3.08
Other,B,CF6-80E1A3,9.53,37.02,4.69,0.227,3.08
Other,C,JT9D-7R4E,1.11,8.27,4.1,0.221,3.08
Other,D,CFM56-5B3/P,3.5,19.2,4.7,0.115,3.08
Other,E,CF34-3B,4.69,47.59,3.72,0.0489,3.08
Other,F,PW306A,4.36,36.35,4.26,0.0422,3.08